idstudy,iddata,idopt,mu_eff,alpha,robin,dice,obj,dicepenalty,oneminusdice
00030,00495,00010,2.604373358001438e+02,1.385460000000000e-07,0.000000000000000e+00, 8.55156e-01, 3.49260e+04, 1.16938e+00,-8.55156e-01
00030,00497,00069,1.194066612068604e+02,1.385460000000000e-07,0.000000000000000e+00, 3.63636e-02, 3.69629e+04, 2.74999e+01,-3.63636e-02
00030,00488,00007,2.044928868756374e+02,1.385460000000000e-07,0.000000000000000e+00, 7.39054e-01, 6.68160e+04, 1.35308e+00,-7.39054e-01
00030,00491,00010,1.896152091898077e+02,1.385460000000000e-07,0.000000000000000e+00, 7.64535e-01, 2.50891e+04, 1.30798e+00, 2.35465e-01
00030,00496,00006,1.783661665446372e+02,1.385460000000000e-07,0.000000000000000e+00, 6.70412e-01, 7.78128e+04, 1.49162e+00,-6.70412e-01
00030,00490,00007,1.849472978667843e+02,1.385460000000000e-07,0.000000000000000e+00, 7.53927e-01, 2.81137e+04, 1.32639e+00,-7.53927e-01
00017,00378,00010,2.654893103487497e+02,1.385460000000000e-07,0.000000000000000e+00, 7.73519e-01, 1.00102e+05, 1.29279e+00,-7.73519e-01
00018,00402,00012,2.441137984556474e+02,1.385460000000000e-07,0.000000000000000e+00, 7.57724e-01, 6.63012e+04, 1.31974e+00,-7.57724e-01
00018,00389,00013,2.269762982527508e+02,1.385460000000000e-07,0.000000000000000e+00, 7.47390e-01, 4.74147e+04, 1.33799e+00,-7.47390e-01
00018,00385,00013,1.396278622858450e+02,1.385460000000000e-07,0.000000000000000e+00, 4.97890e-01, 7.58259e+04, 2.00847e+00,-4.97890e-01
00029,00476,00063,1.189771816750668e+02,1.385460000000000e-07,0.000000000000000e+00, 9.85222e-03, 2.59737e+06, 1.01499e+02,-9.85222e-03
00029,00477,00003,1.241826891173453e+02,1.385460000000000e-07,0.000000000000000e+00, 3.16832e-01, 9.20347e+05, 3.15625e+00,-3.16832e-01
00025,00438,00005,1.900856920797008e+02,1.385460000000000e-07,0.000000000000000e+00, 7.21443e-01, 3.79140e+04, 1.38611e+00,-7.21443e-01
00025,00435,00022,2.712813637792070e+02,1.385460000000000e-07,0.000000000000000e+00, 7.91148e-01, 6.65058e+04, 1.26399e+00,-7.91148e-01
00025,00440,00008,1.491327961716727e+02,1.385460000000000e-07,0.000000000000000e+00, 4.79381e-01, 2.06484e+05, 2.08602e+00,-4.79381e-01
00025,00436,00066,1.178156761564512e+02,1.385460000000000e-07,0.000000000000000e+00, 3.14961e-02, 1.03282e+05, 3.17499e+01, 9.68504e-01
00028,00466,00096,1.119188719938271e+02,1.385460000000000e-07,0.000000000000000e+00, 1.38889e-02, 1.18683e+05, 7.19995e+01,-1.38889e-02
00028,00468,00103,1.056563757505580e+02,1.385460000000000e-07,0.000000000000000e+00, 3.27869e-02, 9.99403e+04, 3.04999e+01, 9.67213e-01
00028,00471,00096,1.132264815321799e+02,1.385460000000000e-07,0.000000000000000e+00, 1.29870e-02, 7.46987e+04, 7.69994e+01,-1.29870e-02
00026,00447,00014,1.528582468492059e+02,1.385460000000000e-07,0.000000000000000e+00, 3.78788e-01, 3.26162e+04, 2.64000e+00,-3.78788e-01
00026,00457,00013,1.495890697004080e+02,1.385460000000000e-07,0.000000000000000e+00, 3.94161e-01, 5.77498e+04, 2.53704e+00,-3.94161e-01
00026,00455,00007,1.656277904741026e+02,1.385460000000000e-07,0.000000000000000e+00, 6.77419e-01, 3.40793e+04, 1.47619e+00,-6.77419e-01
00026,00453,00012,1.953803958990373e+02,1.385460000000000e-07,0.000000000000000e+00, 7.11927e-01, 3.64874e+04, 1.40464e+00,-7.11927e-01
00026,00450,00010,1.782199260483969e+02,1.385460000000000e-07,0.000000000000000e+00, 5.79505e-01, 3.92559e+04, 1.72561e+00,-5.79505e-01
00026,00451,00007,1.999233205917026e+02,1.385460000000000e-07,0.000000000000000e+00, 6.74877e-01, 4.71629e+04, 1.48175e+00,-6.74877e-01
00022,00418,00007,2.069078276572518e+02,1.385460000000000e-07,0.000000000000000e+00, 6.97856e-01, 5.18745e+04, 1.43296e+00,-6.97856e-01
00022,00417,00006,2.683766879042394e+02,1.385460000000000e-07,0.000000000000000e+00, 6.19308e-01, 1.90869e+05, 1.61471e+00,-6.19308e-01
00021,00409,00005,1.717629241779024e+02,1.385460000000000e-07,0.000000000000000e+00, 0.00000e+00, 1.11660e+04, 1.00000e+07,-0.00000e+00
00021,00414,00008,1.904028976931571e+02,1.385460000000000e-07,0.000000000000000e+00, 6.53226e-01, 3.96026e+04, 1.53086e+00,-6.53226e-01
00021,00415,00019,1.403252824959183e+02,1.385460000000000e-07,0.000000000000000e+00, 3.82716e-01, 3.17478e+04, 2.61290e+00,-3.82716e-01
